OK: 火球术 | desc=凝聚火焰之力，向敌人投掷一颗炽热的火球。
OK: 灼烧 | desc=引燃敌人，使其持续受到灼烧伤害。
OK: 烈焰冲击 | desc=释放猛烈的烈焰冲击波，对敌人造成大量火焰伤害。
OK: 焚天 | desc=召唤焚天之火降下，造成毁灭性伤害，但自身也会承受反噬。
OK: 火焰护体 | desc=环绕火焰护盾，获得4点护盾，并对攻击者反弹3点伤害。
OK: 水箭 | desc=射出一支锐利的水箭，穿透敌人的防御。
OK: 冰盾 | desc=凝结寒冰为盾，获得6点护盾，冰寒之力令人战栗。
OK: 寒冰禁锢 | desc=以寒冰之力禁锢敌人，造成伤害并使其下回合无法行动。
OK: 治疗之雨 | desc=降下治愈之雨，恢复6点生命值。
OK: 潮汐之力 | desc=引动潮汐之力，回复10点生命并获得3点护盾。
OK: 风刃 | desc=挥出锐利的风刃切割敌人，并抽1张牌。
OK: 连环风刃 | desc=连续释放多道风刃，对敌人造成6点伤害。
OK: 疾风步 | desc=如疾风般闪避，获得2点护盾并抽2张牌。
OK: 狂风 | desc=掀起狂风席卷战场，造成6点伤害并抽3张牌。
OK: 净妖傩舞 | desc=跳起净妖傩舞，以风之力对敌人造成16点伤害。

Done! All 15 cards updated.
